goals,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,expectedGoals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,rating,player.id,team.id
0,80.0,2,0,0,0,0.11,3,0.0,2,0,0,0,1,0,0,0,0.0,4,0,0,0,0,0.0,6.9,871798,7629
0,0.0,0,0,0,0,0.01,1,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0.0,6.9,1118270,3203
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,6.9,1485101,3210
0,83.33,8,0,0,0,1.66,20,0.0,0,0,1,3,2,0,0,0,0.0,5,10,0,0,0,0.0,6.9,797020,4937
1,62.24,4,0,1,1,0.47,12,8.33,0,0,1,0,6,0,0,1,0.0,61,2,0,0,0,0.0,6.9,913647,3208
4,50.0,7,1,0,0,5.02,43,9.3,4,1,6,5,12,0,0,2,0.0,21,24,0,4,1,0.0,6.9,792334,3205
2,44.44,6,0,1,1,1.12,24,8.33,6,0,1,1,7,0,0,0,0.0,8,11,0,1,2,0.0,6.9,885010,42338
0,53.33,6,0,0,1,0.69,16,0.0,2,0,2,0,1,0,0,0,0.0,24,9,0,0,0,0.0,6.89,1020511,65668
0,60.0,1,0,0,0,0.46,5,0.0,0,0,1,0,2,0,0,0,0.0,3,2,0,0,0,0.0,6.89,129500,3219
0,0.0,3,0,0,0,0.31,5,0.0,0,0,1,0,0,0,0,0,0.0,0,2,0,0,0,0.0,6.89,249427,3203
0,100.0,3,0,0,0,0.38,6,0.0,1,0,0,0,2,0,0,0,0.0,5,1,0,0,0,0.0,6.89,147576,7628
0,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,6.89,42571,7628
